run,turn_ceiling,latency_ms,planner_attempts,status,classification,tags,summary,validation_error,reviewer_feedback
1,2,889.57,1,completed,Valid first attempt,"[""openssl vulnerability"", ""certificate validation"", ""network traffic interception""]",OpenSSL version vulnerability enables bypassing certificate validation to intercept encrypted traffic.,,"{""approved"": true, ""feedback"": ""Tags are relevant and summary is factual and concise.""}"
2,2,837.32,1,completed,Valid first attempt,"[""openssl vulnerability"", ""certificate validation"", ""network traffic interception""]",OpenSSL version vulnerability enables bypassing certificate validation to intercept encrypted traffic.,,"{""approved"": true, ""feedback"": ""Tags are relevant and summary is factual and concise.""}"
3,2,874.82,1,completed,Valid first attempt,"[""openssl vulnerability"", ""certificate validation"", ""network traffic interception""]","OpenSSL version flaw enables bypassing certificate checks, risking encrypted traffic interception.",,"{""approved"": true, ""feedback"": ""Tags are relevant and summary is factual and concise.""}"
4,2,885.96,1,completed,Valid first attempt,"[""openssl vulnerability"", ""certificate validation"", ""network traffic interception""]",OpenSSL vulnerability enables bypassing certificate validation to intercept encrypted traffic.,,"{""approved"": true, ""feedback"": ""Tags are relevant and summary is factual and concise.""}"
5,2,916.54,1,completed,Valid first attempt,"[""openssl vulnerability"", ""certificate validation"", ""network traffic interception""]",OpenSSL version vulnerability enables bypassing certificate validation to intercept encrypted traffic.,,"{""approved"": true, ""feedback"": ""Tags are relevant and summary is factual and concise.""}"
6,2,859.69,1,completed,Valid first attempt,"[""openssl vulnerability"", ""certificate validation"", ""network traffic interception""]",OpenSSL version vulnerability enables bypassing certificate validation to intercept encrypted traffic.,,"{""approved"": true, ""feedback"": ""Tags are relevant and summary is factual and concise.""}"
7,2,856.26,1,completed,Valid first attempt,"[""openssl vulnerability"", ""certificate validation"", ""network traffic interception""]",OpenSSL vulnerability enables bypassing certificate validation to intercept encrypted traffic.,,"{""approved"": true, ""feedback"": ""Tags are relevant and summary is factual and concise.""}"
8,2,815.4,1,completed,Valid first attempt,"[""openssl vulnerability"", ""certificate validation"", ""network traffic interception""]",OpenSSL vulnerability enables bypassing certificate validation to intercept encrypted traffic.,,"{""approved"": true, ""feedback"": ""Tags are relevant and summary is factual and concise.""}"
9,2,871.13,1,completed,Valid first attempt,"[""openssl vulnerability"", ""certificate validation"", ""network traffic interception""]",OpenSSL version flaw enables attackers to bypass certificate checks and intercept encrypted traffic.,,"{""approved"": true, ""feedback"": ""Tags are relevant and summary is factual and concise.""}"
10,2,854.26,1,completed,Valid first attempt,"[""openssl vulnerability"", ""certificate validation"", ""network traffic interception""]",OpenSSL vulnerability enables bypassing certificate validation to intercept encrypted traffic.,,"{""approved"": true, ""feedback"": ""Tags are relevant and summary is factual and concise.""}"
11,2,858.09,1,completed,Valid first attempt,"[""openssl vulnerability"", ""certificate validation"", ""network traffic interception""]",OpenSSL version vulnerability enables bypassing certificate validation to intercept encrypted traffic.,,"{""approved"": true, ""feedback"": ""Tags are relevant and summary is factual and concise.""}"
12,2,851.56,1,completed,Valid first attempt,"[""openssl vulnerability"", ""certificate validation"", ""network traffic interception""]",OpenSSL vulnerability enables bypassing certificate validation to intercept encrypted traffic.,,"{""approved"": true, ""feedback"": ""Tags are relevant and summary is factual and concise.""}"
13,2,862.06,1,completed,Valid first attempt,"[""openssl vulnerability"", ""certificate validation"", ""network traffic interception""]",OpenSSL version vulnerability enables bypassing certificate validation to intercept encrypted traffic.,,"{""approved"": true, ""feedback"": ""Tags are relevant and summary is factual and concise.""}"
14,2,857.87,1,completed,Valid first attempt,"[""openssl vulnerability"", ""certificate validation"", ""network traffic interception""]","OpenSSL vulnerability enables bypassing certificate validation, risking encrypted traffic interception.",,"{""approved"": true, ""feedback"": ""Tags are relevant and summary is factual and concise.""}"
15,2,848.86,1,completed,Valid first attempt,"[""openssl vulnerability"", ""certificate validation"", ""network traffic interception""]",OpenSSL vulnerability enables bypassing certificate validation to intercept encrypted traffic.,,"{""approved"": true, ""feedback"": ""Tags are relevant and summary is factual and concise.""}"
16,2,856.71,1,completed,Valid first attempt,"[""openssl vulnerability"", ""certificate validation"", ""network traffic interception""]","OpenSSL vulnerability enables bypassing certificate validation, risking encrypted traffic interception.",,"{""approved"": true, ""feedback"": ""Tags are relevant and summary is factual and concise.""}"
17,2,845.91,1,completed,Valid first attempt,"[""openssl vulnerability"", ""certificate validation"", ""network traffic interception""]",OpenSSL vulnerability enables bypassing certificate validation to intercept encrypted traffic.,,"{""approved"": true, ""feedback"": ""Tags are relevant and summary is factual and concise.""}"
18,2,798.51,1,completed,Valid first attempt,"[""openssl vulnerability"", ""certificate validation"", ""network traffic interception""]",OpenSSL vulnerability enables bypassing certificate validation to intercept encrypted traffic.,,"{""approved"": true, ""feedback"": ""Tags are relevant and summary is factual and concise.""}"
19,2,794.91,1,completed,Valid first attempt,"[""openssl vulnerability"", ""certificate validation"", ""network traffic interception""]",OpenSSL vulnerability enables bypassing certificate validation to intercept encrypted traffic.,,"{""approved"": true, ""feedback"": ""Tags are relevant and summary is factual and concise.""}"
20,2,866.79,1,completed,Valid first attempt,"[""openssl vulnerability"", ""certificate validation"", ""network traffic interception""]","OpenSSL version flaw enables bypassing certificate checks, risking encrypted traffic interception.",,"{""approved"": true, ""feedback"": ""Tags are relevant and summary is factual and concise.""}"
